,1,1,BANCO DE OCCIDENTE,3.761.153,7%,629.411,455.869,27.559.648,23.756.205,3.803.443,
,2,0,GRUPO EMPRESARIAL COOPERATIVO COOMEVA,3.397.887,8%,34.855,8.636,4.722.381,4.026.975,670.384,
,3,4,EMCALI,1.500.741,6%,92.050,301.631,5.945.683,2.642.372,3.303.311,
,4,5,GRUPO EMPRESARIAL COLOMBINA,1.393.515,5%,133.827,56.078,1.298.037,756.453,541.584,
,5,6,ALMACENES LA 14 S.A.,1.292.984,2%,42.830,2.427,1.377.483,669.755,707.728,
,6,8,COMFANDI,1.238.471,6%,9.270,22.527,1.029.742,364.460,665.282,
,7,7,EMPRESA DE ENERGIA DEL PACIFICO S.A. ESP,1.228.852,4%,328.582,279.518,4.474.484,1.260.479,3.214.004,
,8,9,ALIMENTOS CARNICOS S.A.S.,1.206.522,9%,129.263,68.978,1.364.261,910.821,453.441,
,9,10,TECNOQUIMICAS S.A.,1.161.384,16%,98.866,81.592,920.136,277.235,642.901,
,10,0,METROKIA S.A.,985.184,2%,108.152,75.576,502.422,208.916,293.506,
,11,11,JOHNSON & JOHNSON DE COLOMBIA S.A.,849.994,7%,169.970,105.283,702.374,229.799,472.575,
,12,17,COMERCIALIZADORA GIRALDO Y GOMEZ Y CIA S.A.,819.590,27%,7.039,865,166.708,122.282,44.427,
,13,14,CONALVIAS CONSTRUCCIONES S.A.S.,809.805,12%,22.028,4.086,1.197.377,630.608,566.770,
,14,12,CARTON DE COLOMBIA S.A.,751.656,-2%,18.977,53.247,2.054.602,498.667,1.555.935,
,15,0,CERVECERIA DEL VALLE S.A.,700.799,2%,458.093,385.762,846.898,136.451,710.447,
,16,13,INGENIO DEL CAUCA S.A.,677.682,-7%,890,3.885,1.874.006,464.542,1.409.464,
,17,18,CABLES DE ENERGIA Y DE TELECOMUNICACIONES S.A.,640.068,1%,20.063,-19.831,464.842,294.757,170.084,
,18,15,RIOPAILA CASTILLA S.A.,630.763,-11%,32.058,6.507,1.154.880,492.616,662.264,
,19,16,FABRICA NACIONAL DE AUTOPARTES S.A.,622.401,-7%,11.818,32.786,661.401,311.010,350.391,
,20,21,ENTIDAD PROMOTORA DE SALUD SOS,621.143,11%,-14.553,-15.852,115.417,181.087,-65.670,
,21,26,GASES DE OCCIDENTE S.A.,610.738,31%,70.054,65.554,617.113,450.735,166.377,
,22,0,FUNDICION RAMIREZ ZONA FRANCA S.A.S.,592.907,ND,6.797,2.778,16.626,11.536,5.090,
,23,19,LABORATORIOS BAXTER S.A.,584.346,2%,86.607,63.463,692.512,139.648,552.863,
,24,24,HARINERA DEL VALLE S.A.,560.601,7%,8.381,-86.127,934.593,247.102,687.491,
,25,22,INGREDION COLOMBIA S.A.,526.798,-2%,22.271,14.490,404.346,93.658,310.688,
